PageName,MIN,MAX,RANGE,MEAN,STD,MEDIAN,PCT90,Longitude,Latitude,Buried_Arc
BR59,-0.26,0.53,0.79,0.14,0.10,0.15,0.27,716072,4339051,0
BR60,-0.15,0.56,0.71,0.22,0.09,0.23,0.33,716077,4339051,0
BR61,-0.19,0.92,1.11,0.23,0.09,0.22,0.34,716082,4339051,0
BR62,-0.23,0.44,0.67,0.11,0.08,0.11,0.21,716087,4339051,0
BR63,-0.19,0.44,0.63,0.14,0.07,0.13,0.22,716092,4339051,0
BR64,-0.20,0.52,0.72,0.16,0.09,0.16,0.27,716097,4339051,0
BR70,-0.53,1.00,1.53,0.44,0.26,0.42,0.84,716127,4339051,0
BR71,-0.57,1.00,1.57,0.49,0.22,0.47,0.80,716132,4339051,0
BR73,-0.33,1.00,1.33,0.45,0.14,0.43,0.61,716142,4339051,0
BS58,-0.17,0.56,0.72,0.13,0.10,0.13,0.26,716067,4339046,0
BS59,-0.16,0.40,0.55,0.13,0.07,0.13,0.22,716072,4339046,0
BS60,-0.10,0.63,0.73,0.20,0.08,0.20,0.31,716077,4339046,0
BS61,-0.19,0.62,0.81,0.21,0.08,0.21,0.32,716082,4339046,0
BS62,-0.27,0.65,0.92,0.18,0.10,0.18,0.31,716087,4339046,0
BS63,-0.35,0.52,0.86,0.14,0.07,0.14,0.21,716092,4339046,0
BS64,-0.34,0.54,0.88,0.21,0.09,0.22,0.32,716097,4339046,0
BS65,-0.48,1.00,1.48,0.16,0.14,0.16,0.34,716102,4339046,0
BS66,-0.94,1.00,1.94,0.19,0.20,0.18,0.43,716107,4339046,0
BS67,-0.56,1.00,1.56,0.26,0.18,0.26,0.48,716112,4339046,0
BS68,-0.82,1.00,1.82,0.32,0.32,0.28,0.81,716117,4339046,0
BS69,-0.59,1.00,1.59,0.40,0.32,0.35,0.96,716122,4339046,0
BT59,-0.15,0.51,0.66,0.16,0.09,0.16,0.27,716072,4339041,0
BT60,-0.17,0.47,0.65,0.14,0.08,0.14,0.24,716077,4339041,0
BT61,-0.20,0.61,0.81,0.15,0.10,0.15,0.29,716082,4339041,0
BT62,-0.21,0.67,0.88,0.17,0.11,0.16,0.31,716087,4339041,0
BT63,-0.21,0.83,1.04,0.18,0.10,0.18,0.31,716092,4339041,0
BT64,-0.14,0.48,0.62,0.18,0.08,0.17,0.28,716097,4339041,0
BT65,-0.22,1.00,1.22,0.22,0.11,0.22,0.35,716102,4339041,0
BT66,-0.63,1.00,1.63,0.18,0.15,0.18,0.36,716107,4339041,0
BT67,-0.51,1.00,1.51,0.19,0.21,0.17,0.44,716112,4339041,0
BT68,-1.00,1.00,2.00,0.20,0.29,0.18,0.56,716117,4339041,0
BU59,-0.14,0.66,0.80,0.25,0.11,0.25,0.40,716072,4339036,0
BU60,-0.25,0.46,0.71,0.09,0.11,0.09,0.24,716077,4339036,0
BU61,-0.31,0.52,0.83,0.04,0.10,0.04,0.16,716082,4339036,0
BU62,-0.26,0.67,0.93,0.11,0.11,0.10,0.26,716087,4339036,0
BU63,-0.22,0.72,0.94,0.12,0.11,0.11,0.27,716092,4339036,0
BU64,-0.39,0.73,1.12,0.12,0.11,0.12,0.26,716097,4339036,0
BU65,-0.34,0.58,0.92,0.14,0.08,0.14,0.24,716102,4339036,0
BU66,-0.53,0.90,1.44,0.17,0.14,0.17,0.35,716107,4339036,0
BU67,-0.68,1.00,1.68,0.14,0.18,0.13,0.36,716112,4339036,0
BU68,-1.00,1.00,2.00,0.17,0.31,0.13,0.54,716117,4339036,0
BV61,-0.32,0.45,0.77,-0.01,0.09,-0.01,0.11,716082,4339031,0
BV62,-0.29,0.54,0.84,0.02,0.09,0.02,0.14,716087,4339031,0
BV63,-0.26,0.44,0.70,0.07,0.09,0.07,0.19,716092,4339031,0
BV64,-1.00,1.00,2.00,0.14,0.18,0.11,0.36,716097,4339031,0
BV65,-0.44,1.00,1.44,0.15,0.13,0.14,0.29,716102,4339031,0
BW62,-0.40,0.43,0.83,0.00,0.10,0.00,0.13,716087,4339026,0
BW63,-0.34,1.00,1.34,0.10,0.14,0.08,0.26,716092,4339026,0
BW64,-0.67,0.99,1.67,0.08,0.13,0.08,0.22,716097,4339026,0
BW65,-0.40,0.62,1.03,0.10,0.11,0.10,0.23,716102,4339026,0
BX63,-0.29,1.00,1.29,0.13,0.11,0.13,0.26,716092,4339021,0
BX64,-0.22,0.46,0.68,0.10,0.08,0.09,0.19,716097,4339021,0
BX65,-0.39,0.80,1.19,0.18,0.12,0.17,0.33,716102,4339021,0
BY63,-0.30,0.46,0.76,0.10,0.09,0.10,0.21,716092,4339016,0
